frame,timestamp
1,20250613_132845.542
2,20250613_132845.555
3,20250613_132845.587
4,20250613_132845.620
5,20250613_132845.654
6,20250613_132845.687
7,20250613_132845.721
8,20250613_132845.754
9,20250613_132845.786
10,20250613_132845.820
11,20250613_132845.853
12,20250613_132845.887
13,20250613_132845.921
14,20250613_132845.953
15,20250613_132845.987
16,20250613_132846.020
17,20250613_132846.054
18,20250613_132846.087
19,20250613_132846.121
20,20250613_132846.153
21,20250613_132846.187
22,20250613_132846.220
23,20250613_132846.255
24,20250613_132846.288
25,20250613_132846.321
26,20250613_132846.354
27,20250613_132846.386
28,20250613_132846.421
29,20250613_132846.454
30,20250613_132846.486
31,20250613_132846.520
32,20250613_132846.553
33,20250613_132846.587
34,20250613_132846.620
35,20250613_132846.653
36,20250613_132846.686
37,20250613_132846.721
38,20250613_132846.753
39,20250613_132846.787
40,20250613_132846.820
41,20250613_132846.854
42,20250613_132846.886
43,20250613_132846.920
44,20250613_132846.953
45,20250613_132846.987
46,20250613_132847.021
47,20250613_132847.053
48,20250613_132847.086
49,20250613_132847.120
50,20250613_132847.154
51,20250613_132847.187
52,20250613_132847.220
53,20250613_132847.254
54,20250613_132847.288
55,20250613_132847.321
56,20250613_132847.353
57,20250613_132847.387
58,20250613_132847.420
59,20250613_132847.453
60,20250613_132847.487
61,20250613_132847.520
62,20250613_132847.553
63,20250613_132847.587
64,20250613_132847.620
65,20250613_132847.654
66,20250613_132847.687
67,20250613_132847.719
68,20250613_132847.754
69,20250613_132847.786
70,20250613_132847.820
71,20250613_132847.853
72,20250613_132847.886
73,20250613_132847.922
74,20250613_132847.953
75,20250613_132847.986
76,20250613_132848.021
77,20250613_132848.053
78,20250613_132848.087
79,20250613_132848.120
80,20250613_132848.152
81,20250613_132848.187
82,20250613_132848.221
83,20250613_132848.253
84,20250613_132848.287
85,20250613_132848.320
86,20250613_132848.353
87,20250613_132848.386
88,20250613_132848.420
89,20250613_132848.454
90,20250613_132848.487
91,20250613_132848.520
92,20250613_132848.553
93,20250613_132848.586
94,20250613_132848.620
95,20250613_132848.653
96,20250613_132848.686
97,20250613_132848.720
98,20250613_132848.753
99,20250613_132848.787
100,20250613_132848.820
101,20250613_132848.853
102,20250613_132848.886
103,20250613_132848.920
104,20250613_132848.953
105,20250613_132848.986
106,20250613_132849.021
107,20250613_132849.053
108,20250613_132849.086
109,20250613_132849.120
110,20250613_132849.153
111,20250613_132849.187
112,20250613_132849.220
113,20250613_132849.252
114,20250613_132849.287
115,20250613_132849.321
116,20250613_132849.353
117,20250613_132849.386
118,20250613_132849.421
119,20250613_132849.453
120,20250613_132849.487
121,20250613_132849.520
122,20250613_132849.554
123,20250613_132849.587
124,20250613_132849.620
125,20250613_132849.654
126,20250613_132849.686
127,20250613_132849.720
128,20250613_132849.752
129,20250613_132849.787
130,20250613_132849.820
131,20250613_132849.853
132,20250613_132849.887
133,20250613_132849.920
134,20250613_132849.953
135,20250613_132849.986
136,20250613_132850.020
137,20250613_132850.054
138,20250613_132850.086
139,20250613_132850.120
140,20250613_132850.153
141,20250613_132850.187
142,20250613_132850.220
143,20250613_132850.253
144,20250613_132850.288
145,20250613_132850.321
146,20250613_132850.353
147,20250613_132850.386
148,20250613_132850.420
149,20250613_132850.453
150,20250613_132850.487
151,20250613_132850.520
152,20250613_132850.554
153,20250613_132850.587
154,20250613_132850.619
155,20250613_132850.653
156,20250613_132850.687
157,20250613_132850.720
158,20250613_132850.753
159,20250613_132850.787
